element,crystal_structure,lattice_a_A,work_function_eV,pauling_chi,d_band_center_eV,E_ads_C_eV,E_ads_H_eV,E_ads_O_eV
Pt,fcc,3.924,5.65,2.28,-2.25,-6.97,-2.78,-4.27
Pd,fcc,3.89,5.12,2.2,-1.83,-6.84,-2.74,-4.65
Rh,fcc,3.803,4.98,2.28,-1.73,-7.27,-2.78,-5.11
Ir,fcc,3.84,5.27,2.2,-2.11,-7.5,-2.87,-4.95
Ru,hcp,2.706,4.71,2.2,-1.41,-7.61,-2.78,-5.45
Os,hcp,2.734,4.83,2.2,-2.11,-7.7,-2.87,-5.2
Au,fcc,4.078,5.1,2.54,-3.56,-4.41,-2.04,-3.45
Ag,fcc,4.086,4.26,1.93,-4.3,-4.02,-2.0,-3.45
Cu,fcc,3.615,4.65,1.9,-2.67,-5.81,-2.46,-4.4
Ni,fcc,3.524,5.15,1.91,-1.29,-7.32,-2.78,-5.5
Co,hcp,2.507,5.0,1.88,-1.17,-7.5,-2.78,-5.5
Fe,bcc,2.866,4.5,1.83,-0.92,-7.7,-2.85,-5.7
Mo,bcc,3.147,4.36,2.16,-0.6,-7.4,-2.9,-6.3
W,bcc,3.165,4.55,2.36,-1.16,-8.0,-3.0,-6.7
Re,hcp,2.761,4.96,1.9,-0.51,-7.6,-2.8,-6.0
Sn,tetragonal,5.831,4.42,1.96,-9.93,,,
Ga,orthorhombic,4.52,4.2,1.81,-7.5,,,
In,tetragonal,3.252,4.09,1.78,-7.78,,,
Zn,hcp,2.665,4.33,1.65,-6.47,,,
Mn,bcc,8.89,4.1,1.55,-0.95,,,
Cr,bcc,2.88,4.5,1.66,-0.16,,,
V,bcc,3.03,4.3,1.63,-0.16,,,
Ti,hcp,2.951,4.33,1.54,0.4,,,
Li,bcc,3.51,2.93,0.98,1.0,,,
Na,bcc,4.29,2.36,0.93,1.0,,,
K,bcc,5.328,2.3,0.82,1.0,,,
Rb,bcc,5.585,2.16,0.82,1.0,,,
Cs,bcc,6.05,2.14,0.79,1.0,,,
Sc,hcp,3.309,3.5,1.36,1.5,,,
Y,hcp,3.647,3.1,1.22,1.5,,,
La,dhcp,3.77,3.5,1.1,1.5,,,
Ce,fcc,5.16,2.9,1.12,1.0,,,
Pr,dhcp,3.672,2.7,1.13,1.0,,,
Nd,dhcp,3.658,3.2,1.14,1.0,,,
Sm,rhombohedral,3.621,2.7,1.17,1.0,,,
Eu,bcc,4.581,2.5,1.2,0.5,,,
Gd,hcp,3.636,3.1,1.2,1.0,,,
Tb,hcp,3.601,3.0,1.2,1.0,,,
Dy,hcp,3.593,3.1,1.22,1.0,,,
Ho,hcp,3.578,3.1,1.23,1.0,,,
Er,hcp,3.559,3.1,1.24,1.0,,,
Tm,hcp,3.538,3.1,1.25,1.0,,,
Yb,fcc,5.486,2.6,1.1,0.5,,,
Lu,hcp,3.505,3.3,1.27,1.5,,,
Pb,fcc,4.95,4.25,1.87,-10.0,,,
