support,pymatgen_formula,surface_energy_J_m2,work_function_eV,acidity_NH3_TPD_mmol_g,basicity_CO2_TPD_mmol_g,lattice_a_A,sanderson_chi,dielectric_constant,oxide_class,E_Ov_eV
gamma-Al2O3,Al2O3,1.5,4.3,0.4,0.05,7.911,1.71,9.5,amphoteric,5.0
alpha-Al2O3,Al2O3,2.5,4.5,0.1,0.05,4.76,1.71,10.0,amphoteric,5.5
SiO2,SiO2,0.6,5.0,0.05,0.0,4.91,1.83,3.9,acidic,6.5
TiO2-rutile,TiO2,0.5,4.7,0.2,0.1,4.59,1.59,80.0,amphoteric,4.0
TiO2-anatase,TiO2,0.4,4.5,0.3,0.1,3.78,1.59,48.0,amphoteric,3.8
CeO2,CeO2,1.5,4.5,0.15,0.2,5.41,1.34,26.0,amphoteric,2.4
MgO,MgO,1.0,3.6,0.0,0.6,4.21,1.32,9.8,basic,6.0
ZrO2,ZrO2,1.2,4.0,0.3,0.2,5.07,1.43,23.0,amphoteric,5.5
ZnO,ZnO,1.0,4.2,0.15,0.4,3.25,1.55,8.5,amphoteric,3.5
La2O3,La2O3,0.7,2.5,0.0,0.7,3.94,1.17,21.0,basic,4.5
Y2O3,Y2O3,1.0,2.8,0.1,0.5,10.6,1.25,12.0,basic,5.0
HfO2,HfO2,2.0,3.9,0.3,0.1,5.12,1.46,25.0,amphoteric,5.5
Nb2O5,Nb2O5,2.0,4.5,0.5,0.05,6.17,1.65,40.0,acidic,4.0
WO3,WO3,0.8,5.7,0.4,0.05,7.3,1.81,40.0,acidic,3.5
SiO2-Al2O3,Al2Si2O8,0.8,4.8,0.6,0.0,5.0,1.78,6.0,acidic,6.0
H-ZSM5,HAlSi23O48,0.6,5.0,0.8,0.0,5.0,1.85,4.5,acidic,6.0
SAPO-34,HAlSi3PO12,0.6,5.0,0.5,0.05,5.0,1.8,5.0,acidic,6.0
MgAl2O4,MgAl2O4,1.2,4.5,0.15,0.20,8.083,1.55,9.0,amphoteric,5.5
theta-Al2O3,Al2O3,1.8,4.4,0.25,0.05,5.64,1.71,9.7,amphoteric,5.2
S-1,SiO2,0.5,5.1,0.05,0.0,5.0,1.83,3.9,acidic,6.5
TS-1,SiO2,0.5,5.0,0.20,0.0,5.0,1.82,4.0,acidic,6.0
SBA-15,SiO2,0.5,5.0,0.10,0.0,4.91,1.83,3.9,acidic,6.5
Beta,HAlSi11O24,0.6,5.0,0.90,0.0,5.0,1.84,4.5,acidic,6.0
SUZ-4,HAlSi13O28,0.6,5.0,0.60,0.0,5.0,1.85,4.5,acidic,6.0
Na-Y,NaAlSi2O6,0.5,4.5,0.30,0.20,5.0,1.70,4.0,basic,6.0
ZrP,ZrH2P2O8,0.8,5.2,1.20,0.0,5.3,1.90,8.0,acidic,5.0
