entry_id,active_metal,promoter_1,promoter_2,support,metal_loading_wt,promoter_1_loading_wt,promoter_2_loading_wt,BET_surface_area_m2_g,pore_volume_cm3_g,calcination_temp_C,reduction_temp_C,reaction_temp_C,reaction_pressure_atm,WHSV_h,H2_HC_ratio,propane_TOF_s,propane_conversion,propane_selectivity,deactivation_rate_h,reference_paper,reference_doi,notes,propane_TOF_log
1,Pt,Sn,,gamma-Al2O3,0.35,1.26,,,,,,519,,3.5,0,0.109,0.2,0.98,0.29,"J. Catal. 1996, 158, 1",https://doi.org/10.1006/jcat.1996.0001Get rights and content,,-0.962573502059376
2,Pt,Sn,,MgAl2O4,0.5,0.6,,,,,,550,,36.6,1,0.497,0.11,0.95,0.028,-,-,,-0.303643611266668
3,Pt,Ga,,MgAl2O4,0.6,5,,,,,,605,,3.9,0.37,0.176,0.3,0.98,0.024,"U.S. Patent 5214227,?1993.",-,,-0.75448733218585
4,Pt,Sn,Na,H-ZSM5,0.5,1,1,348,,500,500,590,,3,0.33,0.22,0.39,0.98,0.012,"Ind. Eng. Chem. Res. 2006, 45, 2213",https://doi.org/10.1021/ie800693t,,-0.657577319177794
5,Pt,Zn,,Na-Y,0.5,2.5,,580,0.33,500,500,555,,2.6,0,0.145,0.16,0.91,0.048,App. Catal. A:Gen. 306 (2006) 85,10.1016/j.apcata.2006.03.028,,-0.838631997765025
6,Pt,Ga,,MgAl2O4,0.6,5,,,,,,605,,3.9,0,0.176,0.3,0.98,0.024,App. Catal. A:Gen. 306 (2006) 85,10.1016/j.apcata.2006.03.028,,-0.75448733218585
7,Cr2O3,,,gamma-Al2O3,9,,,256,0.5,700,,580,,,0,,0.1,0.98,0.52,Appl. Catal. A: Gen. 389 (2010) 155,10.1016/j.apcata.2010.09.013,mesoporous Al2O3,
8,Cr2O3,,,ZrP,73,,,426,0.25,400,,550,,1.7,0,0.0000123,0.06,0.87,0.24,"Langmuir 1995, 15, 8421",https://doi.org/10.1021/la990504e,Zr-pillared alpha-ZrP,-4.9100948885606
9,Cr,Ga,,ZrP,20.1,9.3,,326,0.33,400,,550,,2,0,0.0000505,0.04,0.8,0.42,"Langmuir 1999, 15, 1115",https://doi.org/10.1021/la981042s,Zr-pillared alpha-ZrP,-4.29670862188134
10,Cr,,,ZrO2,4,,,,,,,550,,0.3,0,0.0000286,0.24,0.87,0.26,"Catal. Lett. 2002, 83, 19",-,,-4.54363396687096
11,Ga2O3,,,SiO2,1.7,,,,,,,550,,0.97,0,0.000497,0.2,0.8,0.036,"Catal. Lett. 2003, 89, 213",-,,-3.30364361126667
12,Ga2O3,,,,100,,,,,600,,500,,0.15,0,0.000000695,0.12,0.95,0.092,J. Catal. 232 (2005)?143,https://doi.org/10.1016/j.jcat.2005.03.001,,-6.15801519540989
13,Ga2O3,,,ZrO2,5,,,19,,,,600,,0.3,0,0.000019,0.08,0.74,0.77,J. Catal. 239 (2006) 470,https://doi.org/10.1016/j.jcat.2006.02.017,,-4.72124639904717
14,Ga8Al2O15,,,,100,,,130,,500,,500,,0.3,0,0.00000239,0.23,0.98,0.168,J. Catal. 256 (2008) 293,https://doi.org/10.1016/j.jcat.2008.03.021,,-5.62160209905186
15,Pt,Ga,,gamma-Al2O3,0.001,1.2,,,,,,590,,,0,,0.39,0.86,,"U.S. Patent 0198428,, 2002",-,,
16,Pt,In,,S-1,0.45,0.56,,313,0.2,550,550,547,,3.6,0,0.44,0.45,0.99,0.0007,"ACS Catal. 2024, 14, 17825",https://doi.org/10.1021/acscatal.4c05135,Encapsulated in Hollow-Structured Silicalite-1,-0.356547323513813
17,Pt,Zn,,S-1,0.72,0.97,,,,,550,550,,3.6,0,0.25,0.4,0.99,0.001,"ACS Catal. 2022, 12, 1310-1314",https://doi.org/10.1021/acscatal.1c04092,Encapsulated in Hollow-Structured Silicalite-1,-0.602059991327962
18,Pt,Zn,,S-1,0.72,0.97,,,,,550,550,,108,0,3.55,0.12,0.99,0.072,"ACS Catal. 2022, 12, 1310-1314",https://doi.org/10.1021/acscatal.1c04092,Encapsulated in Hollow-Structured Silicalite-2,0.550228353055094
19,Pt,Sn,,SiO2,1,0.6,,,,560,600,580,,4.7,0,0.22,0.38,0.98,0.0034,"Science 373, 217 (2021)",DOI: 10.1126/science.abg7894,,-0.657577319177794
20,Pt,Sn,,SiO2,1,0.6,,,,560,600,580,,29,0,1.2,0.28,1,0.0159,"Science 373, 217 (2021)",DOI: 10.1126/science.abg7895,,0.0791812460476248
21,Pt,Sn,,gamma-Al2O3,1,3.04,,,,560,600,580,,4.7,0,1.67,0.63,0.99,0.0099,"Science 373, 217 (2021)",DOI: 10.1126/science.abg7895,,0.222716471147583
22,Pt,,,gamma-Al2O3,0.5,,,,,560,600,580,,4.7,0,0.16,0.17,0.86,0.2,"Science 373, 217 (2021)",DOI: 10.1126/science.abg7895,,-0.795880017344075
23,Pt,Sn,,CeO2,1,3,,,,800,,680,,2.16,0,0.0887,0.4,0.85,,"Angewandte Chemie 2017, 56 (31), 8986",https://doi.org/10.1002/ange.201701115,,-1.05207638016827
24,Pt,Sn,Na,H-ZSM5,0.5,1,1,289,0.23,500,,590,,3,0.25,0.294,0.39,0.94,0.012,"Ind. Eng. Chem. Res. 2009, 48, 9885",https://doi.org/10.1021/ie900534m,,-0.531652669587843
25,Pt,Sn,Na,SUZ-4,0.5,2,1.5,310,0.15,520,500,590,,3,3,0.164,0.2,0.95,0.029,App. Catal. A:Gen.527 (2016) 30,10.1016/j.apcata.2016.08.017,,-0.795880017344075
26,Pt,Sn,K,theta-Al2O3,0.3,0.2,0.5,77.5,0.36,600,600,600,,4,0.5,0.602,0.38,0.96,0.0029,"RSC Adv., 2017, 7, 19841",https://doi.org/10.1039/C7RA02141K,,-0.220403508742175
27,Pt,Sn,,MgAl2O4,0.55,3.01,,64,,,580,580,,2.2,1,0.23,0.19,0.92,0.014,J. Catal. 320 (2014) 52,https://doi.org/10.1016/j.jcat.2014.09.013,,-0.638272163982407
