entry_id,active_metal,promoter_1,promoter_2,support,metal_loading_wt,promoter_1_loading_wt,promoter_2_loading_wt,BET_surface_area_m2_g,pore_volume_cm3_g,calcination_temp_C,reduction_temp_C,reaction_temp_C,reaction_pressure_atm,WHSV h-1,H2_HC_ratio,specific_activity_s-1,propane_selectivity,deactivation_rate_h-1,reference_paper,reference_doi,notes
1,Pt,Sn,,gamma-Al2O3,0.35,1.26,,,,,,519,,3.5,0,0.109,98,0.29,"J. Catal. 1996, 158, 1",https://doi.org/10.1006/jcat.1996.0001Get rights and content,
2,Pt,Sn,,MgAl2O4,0.5,0.6,,,,,,550,,36.6,1,0.497,95,,-,-,
3,Pt,Ga,,MgAl2O5,0.6,5,,,,,,605,,3.9,0.37,0.176,98,,"U.S. Patent 5214227,?1993.",-,
4,Pt,Sn,Na,H-ZSM5,0.5,1,1,348,,500,500,590,,3,0.33,0.22,98,,"Ind. Eng. Chem. Res. 2006, 45, 2213",https://doi.org/10.1021/ie800693t,
5,Pt,Zn,,Na-Y,0.5,2.5,,580,0.33,500,500,555,,2.6,0,0.145,91,0.048,App. Catal. A:Gen. 306 (2006) 85,10.1016/j.apcata.2006.03.028,
6,Pt,Ga,,MgAl2O4,0.6,5,,,,,,605,,3.9,0,0.176,98,0.024,App. Catal. A:Gen. 306 (2006) 85,10.1016/j.apcata.2006.03.028,
7,Cr2O3,,,Al2O3,9,,,256,0.5,700,,580,,,0,,98,,Appl. Catal. A: Gen. 389 (2010) 155,10.1016/j.apcata.2010.09.013,mesoporous Al2O3
8,Cr2O3,,,ZrP,73,,,426,0.25,400,,550,,1.7,0,0.0000123,87,,"Langmuir 1995, 15, 8421",https://doi.org/10.1021/la990504e,Zr-pillared alpha-ZrP
9,Cr2O3,Ga2O3,,ZrP,20.1,9.3,,326,0.33,400,,550,,2,0,0.0000505,80,,"Langmuir 1999, 15, 1115",https://doi.org/10.1021/la981042s,Zr-pillared alpha-ZrP
10,Cr2O3,,,ZrO2,4,,,,,,,550,,0.3,0,0.0000286,87,,"Catal. Lett. 2002, 83, 19",-,
11,Ga2O3,,,SiO2,1.7,,,,,,,550,,1,0,0.000497,80,,"Catal. Lett. 2003, 89, 213",-,
12,Ga2O3,,,SiO2,100,,,,,600,,500,,0.15,0,0.000000695,95,,J. Catal. 232 (2005)?143,https://doi.org/10.1016/j.jcat.2005.03.001,
13,Ga2O3,,,ZrO2,5,,,19,,,,500,,0.3,0,0.000019,74,,J. Catal. 239 (2006) 470,https://doi.org/10.1016/j.jcat.2006.02.017,
14,Ga8Al2O15,,,,100,,,130,,500,,500,,0.3,0,0.00000239,98,,J. Catal. 256 (2008) 293,https://doi.org/10.1016/j.jcat.2008.03.021,
15,Pt,Ga,,gamma-Al2O3,,0.0001,1.2,,,,,590,,,0,,86,,"U.S. Patent 0198428,?2002",-,
16,Pt,In,,S-1,0.45,0.56,,313,0.2,550,550,547,,3.6,0,0.44,99,,"ACS Catal. 2024, 14, 17825",https://doi.org/10.1021/acscatal.4c05135,Encapsulated in Hollow-Structured Silicalite-1
17,Pt,Zn,,S-1,0.72,0.97,,,,,550,550,,3.6,0,0.25,99,0.001,"ACS Catal. 2022, 12, 1310Å|1314",https://doi.org/10.1021/acscatal.1c04092,Encapsulated in Hollow-Structured Silicalite-1
18,Pt,Zn,,S-1,0.72,0.97,,,,,550,550,,108,0,3.55,99,0.072,"ACS Catal. 2022, 12, 1310Å|1314",https://doi.org/10.1021/acscatal.1c04092,Encapsulated in Hollow-Structured Silicalite-2
19,Pt,Sn,,SiO2,1,0.6,,,,560,600,580,,4.7,0,0.22,98,0.0159,"Science 373, 217 (2021)",DOI: 10.1126/science.abg7894,
20,Pt,Sn,,SiO2,1,0.6,,,,560,600,580,,29,0,1.2,85,0.0159,"Science 373, 217 (2021)",DOI: 10.1126/science.abg7895,
21,Pt,Sn,,gamma-Al2O3,1,3.04,,,,560,600,580,,4.7,0,1.67,99,0.0099,"Science 373, 217 (2021)",DOI: 10.1126/science.abg7895,
22,Pt,,,gamma-Al2O3,0.5,,,,,560,600,580,,4.7,0,0.16,86,0.2,"Science 373, 217 (2021)",DOI: 10.1126/science.abg7895,
23,Pt,Sn,,CeO2,1,3,,,,800,,680,,2.2,0,0.0887,85,,"Angewandte Chemie 2017, 56 (31), 8986",https://doi.org/10.1002/ange.201701115,
24,Pt,Sn,Na,H-ZSM5,0.5,1,1,289,0.23,500,,590,,3,0.25,0.294,94,0.012,"Ind. Eng. Chem. Res. 2009, 48, 9885",https://doi.org/10.1021/ie900534m,
25,Pt,Sn,Na,SUZ-4,0.5,2,1.5,310,0.15,520,500,590,,3,3,0.16,95,0.029,App. Catal. A:Gen.527 (2016) 30,10.1016/j.apcata.2016.08.017,
26,Pt,Sn,K,theta-Al2O3,0.3,0.2,0.5,77.5,0.36,600,600,600,,4,0.5,0.602,96,0.0029,"RSC Adv., 2017, 7, 19841",https://doi.org/10.1039/C7RA02141K,
27,Pt,Sn,,MgAl2O4,0.55,3.01,,64,,,580,580,,2.2,1,0.23,92,0.014,J. Catal. 320 (2014) 52,https://doi.org/10.1016/j.jcat.2014.09.013,
28,Pt,Sn,,MgAl2O4,0.53,3.01,,69,,,580,580,,2.2,1,0.23,97,0.013,J. Catal. 320 (2014) 52,https://doi.org/10.1016/j.jcat.2014.09.013,
29,Pt,Sn,,MgAl2O4,0.5,0.91,,61.4,,,580,580,,2.2,1,0.29,98,0.009,J. Catal. 320 (2014) 52,https://doi.org/10.1016/j.jcat.2014.09.013,
30,Pt,Sn,,MgAl2O4,0.42,0.26,,67.9,,,580,580,,2.2,1,0.31,98,0.003,J. Catal. 320 (2014) 52,https://doi.org/10.1016/j.jcat.2014.09.013,
31,Pt,Sn,,MgAl2O4,0.39,0.47,,66,,,580,580,,2.2,1,0.34,100,0.002,J. Catal. 320 (2014) 52,https://doi.org/10.1016/j.jcat.2014.09.013,
32,Pt,Sn,,TS-1,0.5,0.6,,432,,500,500,590,,3,1,0.4,93,0.033,J. Catal. 352 (2017) 361,https://doi.org/10.1016/j.jcat.2017.05.024,
33,Pt,Sn,,gamma-Al2O3,0.5,1.5,,,,560,600,600,,3.2,0,0.248,89,,"ACS Catal. 2016, 6, 2257",https://doi.org/10.1021/acscatal.5b02917,
34,Pt,Sn,,gamma-Al2O3,0.5,0.9,,228,0.25,500,590,590,,5.2,1.25,0.609,97,0.012,"J. Catal. (2019) 572, 1",10.1016/j.apcata.2018.12.024,
35,Pt,Sn,,SBA-15,1,0.5,,,,500,500,580,,8.25,0,0.42,97,0.0386,Chinese J. Catal. 38 (2017) 726,https://doi.org/10.1016/S1872-2067(17)62805-5,
36,Pt,Sn,Na,SUZ-4,0.5,2,1,277,0.13,520,500,590,,3,3,0.14,90,0.0229,Chinese J. Catal. 38 (2017) 529,https://doi.org/10.1016/S1872-2067(17)62750-5,
37,Pt,Sn,,Magnesium-aluminum oxide,0.3,0.3,,127,0.39,550,500,550,,1.13,0,0.12,97,0.0015,Catal. Today 358 (2019) 90,https://doi.org/10.1016/j.cattod.2019.06.058,
38,Pt,Sn,,theta-Al2O3,0.5,0.91,,,,,150,550,,11.8,1,1.14,98,0.002,J. Catal. 374 (2019) 391,https://doi.org/10.1016/j.jcat.2019.04.035,
39,Pt,Sn,,Beta,0.5,0.61,,,,,570,570,,140,1,16.45,99,0.0083,"ACS Catal.?2020, 10, 1, 818",https://doi.org/10.1021/acscatal.9b03527,
40,Pt,Sn,,Al2O3,0.5,1,,299,0.4,500,500,590,,3,0.25,0.22,92,0.044,J. Mol. Catal. A: Chem. 381 (2014) 128,https://doi.org/10.1016/j.molcata.2013.10.007,mesoporous Al2O3
41,Pt,Sn,,gamma-Al2O3,0.5,1,,257,,500,500,590,,3,0.25,0.21,76,0.058,J. Mol. Catal. A: Chem. 381 (2014) 128,https://doi.org/10.1016/j.molcata.2013.10.007,
