active_metal,promoter_1,promoter_2,support,metal_loading_wt,promoter_1_loading_wt,promoter_2_loading_wt,propane_TOF_log,propane_selectivity
Pt,In,,ZrO2,5.0,0.1,0.0,-0.1068356089904064,0.30616709571310086
Ru,Ga,,WO3,1.0,0.1,0.0,-0.8200157534306883,0.2521835693856246
Pd,In,,MgO,3.0,0.5,0.0,-1.3492414507238069,0.5880035423809277
Rh,,,SiO2-Al2O3,3.0,0.0,0.0,-1.649071717036813,0.21389628355528323
Ru,Re,Cs,H-ZSM5,2.0,1.0,1.0,-4.678764659017857,0.2622129080347127
Pd,,,Nb2O5,2.0,0.0,0.0,-0.4135626358663134,0.2281637270496649
Rh,Re,,alpha-Al2O3,1.0,1.0,0.0,0.014905975135900727,0.4647383014607733
Pd,,,La2O3,2.0,0.0,0.0,-1.1696423933911755,0.5876105424979574
Ru,In,Cu,MgO,5.0,0.3,0.3,-2.247453097311367,0.5063178442799996
Ru,,,WO3,3.0,0.0,0.0,-0.9067197334993957,0.18796372171725964
Pd,In,,ZnO,1.0,0.1,0.0,0.21696601553065561,0.44788333262087515
Pt,In,,La2O3,0.1,1.0,0.0,-1.5409856718079764,0.7174661270391289
Pt,Ga,,Y2O3,0.1,0.3,0.0,-1.7942674222692565,0.46255321111780207
Rh,Sn,K,WO3,0.1,2.0,0.3,-0.4165328636842335,0.5564657022427973
Pt,Ga,,SAPO-34,2.0,0.5,0.0,0.13682072869466913,0.2900412540060388
Rh,,,alpha-Al2O3,0.1,0.0,0.0,-1.5278527138805742,0.4819074976085318
Ru,Sn,,H-ZSM5,0.3,0.5,0.0,-4.8789886861085225,0.26084131581900344
Ru,Ga,,Y2O3,2.0,0.3,0.0,-1.8892158777817194,0.3403259017721207
Rh,In,Cs,HfO2,1.0,0.3,1.0,0.6157815036926259,0.49176218174318276
Ni,Ga,,TiO2-anatase,0.1,0.1,0.0,-0.4911094624259956,0.46843492354409116
Ru,Sn,,WO3,2.0,0.5,0.0,-0.575592176493517,0.3133478215066621
Pd,Ga,,ZrO2,0.5,1.0,0.0,0.9087853307151108,0.43636298373341004
Ir,Sn,,WO3,0.1,0.1,0.0,-0.834039047760735,0.3405786738282859
Rh,,,SiO2,2.0,0.0,0.0,-1.0226290352692657,0.38432040152699026
Ni,Ga,,Y2O3,2.0,0.3,0.0,-1.7984303284521452,0.3635236797713459
Pt,Sn,,alpha-Al2O3,0.3,0.5,0.0,0.6246224132449798,0.5896699051145112
Pt,Ga,,WO3,0.3,2.0,0.0,0.08762996710651619,0.33904650826676114
Pd,,,MgO,3.0,0.0,0.0,-1.4812445476473701,0.5309332447667063
Pd,,,La2O3,2.0,0.0,0.0,-1.2891979016944397,0.6111332425817149
Ru,Re,,alpha-Al2O3,2.0,2.0,0.0,-0.804758620958311,0.39391563605986574
Pt,Ga,,CeO2,3.0,0.5,0.0,-0.033120705536657025,0.4346453002916152
Ru,,,Y2O3,1.0,0.0,0.0,-1.7905485296077241,0.3408479388869731
Pd,,,SiO2,0.5,0.0,0.0,-1.0322666420317725,0.44957756509813634
Rh,In,,H-ZSM5,0.3,2.0,0.0,-4.401061016076835,0.2847475518981679
Pt,In,,MgO,0.5,2.0,0.0,-0.4688430128859997,0.6610070503945319
Pt,In,K,gamma-Al2O3,0.1,0.1,2.0,-0.86299305757785,0.4134496363645822
